--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 23-30 32-38     | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 23-24 31-35 38  | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 21       | 21      | 0                 | 5                 | 0            | 23221.1      | 0            | 465.074      | 0            
4       | 21       | 21      | 0                 | 5                 | 0            | -23427.6     | 0            | 671.562      | 0            
5       | 25       | 22      | 0                 | 6                 | 0            | -22962.5     | 0            | 1136.64      | 1117.72      
6       | 25       | 44      | 0                 | 7                 | 145.304      | -1.10894     | 2.49825      | 1144.09      | 1117.72      
7       | 25       | 44      | 0                 | 8                 | 167.145      | -0.989834    | 2.47425      | 1146.65      | 1117.72      
8       | 25       | 44      | 0                 | 9                 | 167.47       | -0.988567    | 2.47388      | 1146.71      | 1117.72      
9       | 25       | 62      | 0                 | 10-11             | 168.925      | -0.981352    | 2.47074      | 1146.89      | 1117.72      
10      | 4900001  | 22      | 0                 | 12-13             | 432.274      | -0.727621    | -1.38155     | 554.509      | 54.3179      
11      | -4900001 | 22      | 0                 | 14-15             | 571.038      | 0.258622     | 1.95424      | 592.382      | 50.3124      
12      | 4900022  | 22      | 0                 | 16-17             | 217.428      | -0.790241    | -1.42662     | 290.523      | 30.4227      
13      | 4900004  | 1       | 0                 |                   | 215.29       | -0.660473    | -1.33603     | 263.986      | 2            
14      | 4900022  | 22      | 0                 | 21-22             | 92.0183      | 0.31228      | 2.14638      | 96.5708      | 2.37369      
15      | -4900004 | 1       | 0                 |                   | 481.034      | 0.247207     | 1.91771      | 495.811      | 2            
16      | 13       | 23      | 0                 | 18-19             | 131.879      | -0.76105     | -1.3158      | 171.95       | 0.10566      
17      | -13      | 23      | 0                 | 20                | 87.5815      | -0.818241    | -1.59392     | 118.573      | 0.10566      
18      | 13       | 1       | 0                 |                   | 131.711      | -0.761123    | -1.31581     | 171.739      | 0.10566      
19      | 22       | 1       | 0                 |                   | 0.173693     | -0.708034    | -1.31379     | 0.21908      | -4.9281e-09  
20      | -13      | 1       | 0                 |                   | 87.5754      | -0.818241    | -1.59392     | 118.565      | 0.10566      
21      | 11       | 1       | 0                 |                   | 30.5037      | 0.3368       | 2.11926      | 32.2502      | 0.000511     
22      | -11      | 1       | 0                 |                   | 61.5314      | 0.299974     | 2.15982      | 64.3206      | 0.000510999  
