#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 281613:5331 | 09/25/16 06:03:33 | 803  | 803  | 0.011184531    | 0.009489981   |
| 281639:5338 | 09/26/16 07:45:15 | 136  | 132  | 0.021172448    | 0.019289386   |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 0.041324056    | 0.039576658   |
| 281693:5339 | 09/26/16 16:57:02 | 2191 | 2191 | 0.391960061    | 0.379061164   |
| 281707:5340 | 09/27/16 09:47:30 | 953  | 952  | 0.225409016    | 0.215572991   |
| 281726:5340 | 09/27/16 16:14:38 | 291  | 289  | 0.051691050    | 0.049449116   |
| 281727:5340 | 09/27/16 18:10:04 | 1605 | 1605 | 0.206264092    | 0.200437253   |
| 281797:5345 | 09/28/16 12:04:49 | 2052 | 2052 | 0.412327442    | 0.397535331   |
| 281975:5351 | 09/30/16 03:23:13 | 215  | 215  | 0.058650350    | 0.054084407   |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 0.352339912    | 0.338891186   |
| 282033:5352 | 09/30/16 21:30:44 | 43   | 40   | 0.011014524    | 0.008276294   |
| 282034:5352 | 09/30/16 21:48:05 | 35   | 35   | 0.009971649    | 0.008690100   |
| 282035:5352 | 09/30/16 22:03:02 | 47   | 42   | 0.012967423    | 0.009499632   |
| 282037:5352 | 09/30/16 22:24:15 | 1861 | 1861 | 0.345245747    | 0.331262305   |
| 282092:5355 | 10/02/16 13:49:38 | 1784 | 1784 | 0.306316004    | 0.296432703   |
| 282708:5391 | 10/09/16 08:39:31 | 8    | 8    | 0.002545670    | 0.002158691   |
| 282710:5391 | 10/09/16 08:49:08 | 9    | 9    | 0.002797218    | 0.000352545   |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 0.017669294    | 0.016825575   |
| 282730:5393 | 10/09/16 12:41:53 | 83   | 79   | 0.024981034    | 0.020831309   |
| 282731:5393 | 10/09/16 13:13:59 | 176  | 175  | 0.052167952    | 0.048194774   |
| 282732:5393 | 10/09/16 14:23:16 | 73   | 72   | 0.020094284    | 0.018268678   |
| 282733:5393 | 10/09/16 14:52:27 | 178  | 178  | 0.045547871    | 0.043581030   |
| 282734:5393 | 10/09/16 16:03:11 | 330  | 329  | 0.074347058    | 0.071045058   |
| 282735:5393 | 10/09/16 18:12:40 | 1823 | 1823 | 0.278360328    | 0.269943712   |
| 282800:5394 | 10/10/16 14:17:15 | 382  | 381  | 0.099462321    | 0.094509674   |
| 282807:5394 | 10/10/16 16:48:03 | 330  | 328  | 0.075828965    | 0.071034957   |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 0.284758913    | 0.276016668   |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 0.024679968    | 0.023688095   |
| 282917:5401 | 10/12/16 01:27:07 | 85   | 82   | 0.021953831    | 0.018035419   |
| 282918:5401 | 10/12/16 02:00:23 | 59   | 56   | 0.015583920    | 0.012930663   |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 0.059447256    | 0.057321276   |
| 282922:5401 | 10/12/16 05:09:33 | 137  | 137  | 0.028566357    | 0.025500163   |
| 282923:5401 | 10/12/16 06:04:20 | 226  | 226  | 0.043723572    | 0.040389424   |
| 283042:5405 | 10/12/16 22:38:59 | 10   | 10   | 0.002358745    | 0.001255067   |
| 283043:5405 | 10/12/16 22:44:17 | 519  | 519  | 0.119876875    | 0.114263516   |
| 283049:5406 | 10/13/16 05:05:17 | 17   | 17   | 0.005512044    | 0.003136917   |
| 283050:5406 | 10/13/16 05:13:25 | 227  | 221  | 0.066075320    | 0.057737141   |
| 283052:5406 | 10/13/16 06:45:20 | 124  | 120  | 0.033504344    | 0.028666098   |
| 283059:5406 | 10/13/16 08:00:56 | 458  | 451  | 0.104580116    | 0.098698779   |
| 283270:5416 | 10/14/16 18:39:48 | 1838 | 1837 | 0.407465717    | 0.393007456   |
| 283283:5416 | 10/15/16 06:35:59 | 1748 | 1748 | 0.204488237    | 0.198991468   |
| 283305:5418 | 10/15/16 21:41:13 | 15   | 11   | 0.003946667    | 0.001467050   |
| 283306:5418 | 10/15/16 21:46:57 | 291  | 291  | 0.083716517    | 0.079680309   |
| 283307:5418 | 10/15/16 23:43:44 | 461  | 461  | 0.109083046    | 0.102934511   |
