#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1282 | 1278 | 0.053510443    | 0.050096647   |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 0.016891613    | 0.016204775   |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 0.006922515    | 0.006549429   |
| 273403:4924 | 05/14/16 03:05:28 | 68   | 65   | 0.002446819    | 0.001813393   |
| 273404:4924 | 05/14/16 03:31:50 | 22   | 22   | 0.000786915    | 0.000608062   |
| 273405:4924 | 05/14/16 03:42:33 | 33   | 28   | 0.001175319    | 0.000796233   |
| 273406:4924 | 05/14/16 03:56:09 | 125  | 117  | 0.004382279    | 0.003751947   |
| 273408:4924 | 05/14/16 04:52:04 | 9    | 8    | 0.000311978    | 0.000179911   |
| 273409:4924 | 05/14/16 04:56:42 | 317  | 314  | 0.010749312    | 0.009417038   |
| 273410:4924 | 05/14/16 06:59:49 | 99   | 98   | 0.003263409    | 0.002727801   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 0.000789018    | 0.000738158   |
| 273425:4925 | 05/14/16 11:17:57 | 680  | 678  | 0.028094545    | 0.026373888   |
| 273446:4926 | 05/14/16 20:06:56 | 48   | 46   | 0.003253013    | 0.002092098   |
| 273447:4926 | 05/14/16 20:26:10 | 419  | 419  | 0.027133418    | 0.025361118   |
| 273448:4926 | 05/14/16 23:11:52 | 396  | 396  | 0.023732442    | 0.022305021   |
| 273449:4926 | 05/15/16 01:48:10 | 216  | 216  | 0.012263502    | 0.011594443   |
| 273450:4926 | 05/15/16 03:19:38 | 643  | 643  | 0.033423174    | 0.032005032   |
| 273492:4930 | 05/16/16 09:07:34 | 271  | 267  | 0.012270180    | 0.011482896   |
| 273493:4930 | 05/16/16 10:54:39 | 241  | 236  | 0.010699963    | 0.009945892   |
| 273494:4930 | 05/16/16 12:28:42 | 192  | 192  | 0.008216538    | 0.007951506   |
| 273502:4935 | 05/16/16 20:00:07 | 1002 | 997  | 0.046520648    | 0.044252525   |
| 273503:4935 | 05/17/16 02:31:27 | 598  | 598  | 0.024850229    | 0.024085301   |
| 273554:4942 | 05/18/16 05:30:44 | 368  | 366  | 0.026519134    | 0.024962164   |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 0.011795967    | 0.011414840   |
| 273725:4947 | 05/20/16 02:37:26 | 2473 | 2470 | 0.155626083    | 0.149907235   |
| 273728:4947 | 05/20/16 19:02:03 | 112  | 104  | 0.005512201    | 0.004733655   |
| 273730:4947 | 05/20/16 19:47:24 | 2126 | 2126 | 0.086416014    | 0.084028404   |
| 274094:4953 | 05/27/16 02:21:04 | 225  | 225  | 0.009691148    | 0.009324648   |
| 274146:4956 | 05/27/16 22:10:11 | 73   | 73   | 0.005639325    | 0.004925269   |
| 274157:4958 | 05/28/16 11:50:04 | 433  | 431  | 0.039325847    | 0.037077580   |
| 274159:4958 | 05/28/16 14:43:47 | 47   | 43   | 0.004047817    | 0.003282095   |
| 274160:4958 | 05/28/16 15:02:52 | 214  | 211  | 0.017884300    | 0.016601912   |
| 274161:4958 | 05/28/16 16:26:17 | 516  | 516  | 0.040333260    | 0.038952831   |
