#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 297050:5839 | 06/16/17 20:55:45 | 710  | 710  | 0.096162706    | 0.093681597   |
| 297056:5840 | 06/17/17 05:00:46 | 192  | 192  | 0.031385232    | 0.028208088   |
| 297057:5840 | 06/17/17 06:18:36 | 873  | 873  | 0.114815009    | 0.112271383   |
| 297099:5842 | 06/17/17 19:23:59 | 39   | 39   | 0.007509992    | 0.006956723   |
| 297100:5842 | 06/17/17 19:41:21 | 371  | 369  | 0.074423289    | 0.069680619   |
| 297101:5842 | 06/17/17 22:12:26 | 1085 | 1085 | 0.163840597    | 0.159857932   |
| 297113:5845 | 06/18/17 12:43:13 | 246  | 239  | 0.055864424    | 0.050309777   |
| 297114:5845 | 06/18/17 14:21:05 | 155  | 155  | 0.032948990    | 0.031905851   |
| 297175:5848 | 06/19/17 19:04:40 | 85   | 76   | 0.018737397    | 0.015605620   |
| 297176:5848 | 06/19/17 19:42:18 | 200  | 196  | 0.041898825    | 0.039369547   |
| 297177:5848 | 06/19/17 21:04:31 | 162  | 158  | 0.031965702    | 0.030027254   |
| 297178:5848 | 06/19/17 22:09:07 | 1347 | 1340 | 0.200361131    | 0.195709018   |
| 297179:5848 | 06/20/17 07:09:38 | 92   | 88   | 0.010392416    | 0.009590452   |
| 297215:5849 | 06/20/17 13:53:03 | 47   | 47   | 0.012739781    | 0.012016961   |
| 297218:5849 | 06/20/17 14:14:26 | 27   | 24   | 0.007126211    | 0.003628771   |
| 297219:5849 | 06/20/17 14:26:08 | 2608 | 2607 | 0.436499827    | 0.423628631   |
| 297224:5849 | 06/21/17 07:56:04 | 125  | 125  | 0.012146246    | 0.011932747   |
| 297225:5849 | 06/21/17 08:49:06 | 32   | 25   | 0.003026697    | 0.002256188   |
| 297227:5849 | 06/21/17 09:04:44 | 184  | 184  | 0.016335503    | 0.016185183   |
| 297292:5856 | 06/22/17 02:42:29 | 738  | 735  | 0.179309594    | 0.168740986   |
| 297293:5856 | 06/22/17 07:41:33 | 145  | 139  | 0.029678151    | 0.027038817   |
| 297296:5856 | 06/22/17 08:47:07 | 484  | 479  | 0.088488137    | 0.084188129   |
| 297308:5856 | 06/22/17 12:06:46 | 44   | 44   | 0.006659755    | 0.006382755   |
| 297359:5862 | 06/23/17 03:26:00 | 49   | 49   | 0.013894405    | 0.013263036   |
| 297411:5864 | 06/23/17 13:35:24 | 911  | 911  | 0.209422157    | 0.200456557   |
| 297424:5865 | 06/24/17 00:42:30 | 118  | 117  | 0.033711731    | 0.030630959   |
| 297425:5865 | 06/24/17 01:29:39 | 153  | 149  | 0.042917090    | 0.040380558   |
| 297426:5865 | 06/24/17 02:30:35 | 101  | 100  | 0.026732428    | 0.024574480   |
| 297429:5865 | 06/24/17 03:24:59 | 72   | 72   | 0.018104551    | 0.017174467   |
| 297430:5865 | 06/24/17 04:03:47 | 199  | 199  | 0.047807041    | 0.045743300   |
| 297431:5865 | 06/24/17 05:23:08 | 177  | 174  | 0.039546592    | 0.037508001   |
| 297432:5865 | 06/24/17 06:36:25 | 112  | 112  | 0.023772603    | 0.023048494   |
| 297433:5865 | 06/24/17 07:41:47 | 159  | 153  | 0.031849887    | 0.029722522   |
| 297434:5865 | 06/24/17 08:43:19 | 161  | 156  | 0.030448867    | 0.028822314   |
| 297435:5865 | 06/24/17 09:45:40 | 94   | 94   | 0.017166365    | 0.016788702   |
| 297467:5868 | 06/24/17 19:48:19 | 89   | 89   | 0.029371449    | 0.027178503   |
| 297468:5868 | 06/24/17 20:28:57 | 74   | 74   | 0.023558732    | 0.022624098   |
| 297469:5868 | 06/24/17 21:02:04 | 66   | 66   | 0.020256387    | 0.018483778   |
| 297483:5872 | 06/25/17 05:36:28 | 172  | 171  | 0.050558178    | 0.046830332   |
| 297484:5872 | 06/25/17 06:47:17 | 204  | 204  | 0.057261793    | 0.054426793   |
| 297485:5872 | 06/25/17 08:17:19 | 402  | 397  | 0.099732093    | 0.094979650   |
| 297486:5872 | 06/25/17 11:05:55 | 617  | 615  | 0.126715723    | 0.122692281   |
| 297487:5872 | 06/25/17 15:14:37 | 600  | 595  | 0.099323487    | 0.096247343   |
| 297488:5872 | 06/25/17 19:17:09 | 418  | 418  | 0.057460175    | 0.056326943   |
| 297503:5873 | 06/26/17 02:02:27 | 748  | 745  | 0.189776748    | 0.181851633   |
| 297504:5873 | 06/26/17 07:10:25 | 53   | 52   | 0.011431061    | 0.010727694   |
| 297505:5873 | 06/26/17 08:06:28 | 394  | 394  | 0.076662706    | 0.074612064   |
| 297557:5876 | 06/26/17 23:20:35 | 334  | 334  | 0.099469559    | 0.093332512   |
| 297558:5876 | 06/27/17 01:56:22 | 258  | 255  | 0.068482859    | 0.064982538   |
| 297562:5876 | 06/27/17 05:58:50 | 319  | 318  | 0.064778867    | 0.062218387   |
| 297563:5876 | 06/27/17 08:23:21 | 259  | 259  | 0.047407571    | 0.045965415   |
| 297598:5878 | 06/27/17 14:59:44 | 13   | 6    | 0.004043952    | 0.001162204   |
| 297599:5878 | 06/27/17 15:06:25 | 347  | 342  | 0.097197969    | 0.092102186   |
| 297603:5878 | 06/27/17 17:52:22 | 420  | 418  | 0.103152500    | 0.098935557   |
| 297604:5878 | 06/27/17 20:44:33 | 392  | 389  | 0.082265272    | 0.079136504   |
| 297605:5878 | 06/27/17 23:22:45 | 360  | 357  | 0.066247002    | 0.064209308   |
| 297606:5878 | 06/28/17 02:10:08 | 227  | 227  | 0.036992940    | 0.036115424   |
| 297620:5880 | 06/28/17 10:09:23 | 287  | 287  | 0.087454268    | 0.081521271   |
| 297656:5882 | 06/28/17 17:39:53 | 303  | 300  | 0.096714894    | 0.092050999   |
| 297665:5882 | 06/29/17 00:46:59 | 270  | 267  | 0.059179141    | 0.056783431   |
| 297666:5882 | 06/29/17 02:42:25 | 112  | 112  | 0.022798072    | 0.022224375   |
| 297670:5883 | 06/29/17 06:26:34 | 14   | 7    | 0.004656507    | 0.002098411   |
| 297674:5883 | 06/29/17 07:15:59 | 181  | 176  | 0.055470754    | 0.051495392   |
| 297675:5883 | 06/29/17 08:36:58 | 455  | 451  | 0.123372156    | 0.118251522   |
| 297722:5887 | 06/29/17 20:40:23 | 295  | 287  | 0.095367883    | 0.089476872   |
| 297723:5887 | 06/29/17 23:02:24 | 185  | 185  | 0.053140961    | 0.051198998   |
| 298996:5942 | 07/14/17 07:36:18 | 184  | 184  | 0.029599683    | 0.023587655   |
| 298997:5942 | 07/14/17 08:52:13 | 38   | 38   | 0.005967171    | 0.004043329   |
| 299000:5942 | 07/14/17 09:20:59 | 74   | 74   | 0.010405753    | 0.008317610   |
| 299042:5946 | 07/14/17 20:11:50 | 23   | 23   | 0.004258394    | 0.002079918   |
| 299061:5950 | 07/15/17 01:00:37 | 318  | 311  | 0.082119482    | 0.066820417   |
| 299062:5950 | 07/15/17 03:04:10 | 301  | 294  | 0.071050331    | 0.060156788   |
| 299064:5950 | 07/15/17 05:04:34 | 79   | 78   | 0.017476799    | 0.015979510   |
| 299065:5950 | 07/15/17 05:49:29 | 328  | 321  | 0.066330633    | 0.059079922   |
| 299067:5950 | 07/15/17 08:12:55 | 459  | 459  | 0.078194922    | 0.070769072   |
| 299096:5952 | 07/15/17 15:27:14 | 96   | 96   | 0.027444151    | 0.024805698   |
| 299149:5954 | 07/16/17 01:40:41 | 442  | 442  | 0.124507350    | 0.111557190   |
| 299178:5958 | 07/16/17 12:24:55 | 74   | 70   | 0.020446707    | 0.016328206   |
| 299180:5958 | 07/16/17 12:57:51 | 94   | 68   | 0.026696552    | 0.016065848   |
| 299184:5958 | 07/16/17 13:42:24 | 561  | 555  | 0.140378724    | 0.126939659   |
| 299185:5958 | 07/16/17 17:26:15 | 120  | 120  | 0.026384602    | 0.024118890   |
| 299327:5960 | 07/18/17 07:53:09 | 72   | 69   | 0.017849166    | 0.015595861   |
| 299329:5960 | 07/18/17 08:25:06 | 172  | 172  | 0.040823843    | 0.038520180   |
| 299368:5962 | 07/18/17 16:09:23 | 139  | 131  | 0.044018287    | 0.033716376   |
| 299369:5962 | 07/18/17 17:05:01 | 303  | 302  | 0.090921223    | 0.080806811   |
| 299370:5962 | 07/18/17 19:39:21 | 666  | 666  | 0.156323096    | 0.146044318   |
| 299380:5963 | 07/19/17 02:35:27 | 194  | 191  | 0.062468776    | 0.055831119   |
| 299381:5963 | 07/19/17 04:00:43 | 45   | 45   | 0.013827609    | 0.012266126   |
| 299394:5965 | 07/19/17 07:30:38 | 29   | 22   | 0.008575771    | 0.005552696   |
| 299395:5965 | 07/19/17 07:42:23 | 187  | 182  | 0.059643654    | 0.040232187   |
| 299396:5965 | 07/19/17 08:55:05 | 81   | 81   | 0.024754695    | 0.017652030   |
| 299420:5966 | 07/19/17 12:04:00 | 49   | 49   | 0.016093483    | 0.013585129   |
| 299443:5971 | 07/20/17 00:32:54 | 20   | 20   | 0.007306340    | 0.005784312   |
| 299450:5974 | 07/20/17 04:37:03 | 50   | 50   | 0.014699379    | 0.012756601   |
| 299477:5976 | 07/20/17 12:44:21 | 10   | 10   | 0.003355601    | 0.002082499   |
| 299478:5976 | 07/20/17 13:06:44 | 175  | 172  | 0.052720737    | 0.046532246   |
| 299479:5976 | 07/20/17 14:18:01 | 123  | 117  | 0.036478583    | 0.030700115   |
| 299480:5976 | 07/20/17 15:07:52 | 714  | 710  | 0.183737589    | 0.169437384   |
| 299481:5976 | 07/20/17 19:55:18 | 1200 | 1200 | 0.204920537    | 0.193095273   |
| 299593:5979 | 07/21/17 18:23:45 | 801  | 797  | 0.203155263    | 0.187400801   |
| 299594:5979 | 07/21/17 23:38:54 | 317  | 309  | 0.067816950    | 0.062036899   |
| 299595:5979 | 07/22/17 01:48:02 | 135  | 135  | 0.026454036    | 0.025536689   |
| 299597:5979 | 07/22/17 02:46:03 | 537  | 537  | 0.090934298    | 0.087023903   |
| 299649:5984 | 07/24/17 02:38:21 | 182  | 182  | 0.064244051    | 0.058245978   |
| 300087:6019 | 07/29/17 06:23:31 | 201  | 194  | 0.013990232    | 0.013203679   |
| 300105:6020 | 07/29/17 12:14:52 | 21   | 21   | 0.006081841    | 0.001264884   |
| 300106:6020 | 07/29/17 12:26:04 | 74   | 74   | 0.025268639    | 0.020137790   |
| 300107:6020 | 07/29/17 12:58:01 | 46   | 46   | 0.015331519    | 0.013777474   |
| 300117:6021 | 07/29/17 16:45:44 | 33   | 33   | 0.009774108    | 0.006317270   |
| 300122:6024 | 07/29/17 21:46:18 | 1244 | 1235 | 0.334373483    | 0.301188853   |
| 300123:6024 | 07/30/17 05:57:59 | 610  | 601  | 0.110793030    | 0.103262244   |
| 300155:6026 | 07/30/17 18:49:41 | 1195 | 1188 | 0.319474541    | 0.288018763   |
| 300156:6026 | 07/31/17 02:33:41 | 72   | 64   | 0.014700551    | 0.012014282   |
| 300157:6026 | 07/31/17 03:14:44 | 1099 | 1099 | 0.180408635    | 0.170366297   |
| 300226:6030 | 07/31/17 17:03:13 | 406  | 406  | 0.134711596    | 0.118756516   |
| 300233:6031 | 07/31/17 22:08:07 | 120  | 111  | 0.041779639    | 0.032399984   |
| 300234:6031 | 07/31/17 22:55:49 | 59   | 59   | 0.019831912    | 0.014933255   |
| 300235:6031 | 07/31/17 23:21:52 | 187  | 181  | 0.060169959    | 0.050549170   |
| 300236:6031 | 08/01/17 00:39:29 | 177  | 172  | 0.053504567    | 0.047244685   |
| 300237:6031 | 08/01/17 01:48:17 | 715  | 715  | 0.178028721    | 0.166062659   |
| 300238:6031 | 08/01/17 06:39:52 | 297  | 290  | 0.057287821    | 0.050734709   |
| 300239:6031 | 08/01/17 08:36:44 | 208  | 202  | 0.036174712    | 0.031504953   |
| 300240:6031 | 08/01/17 10:10:56 | 355  | 354  | 0.052327545    | 0.048113981   |
| 300280:6035 | 08/02/17 04:47:45 | 548  | 548  | 0.171609104    | 0.141233165   |
| 300281:6035 | 08/02/17 09:00:44 | 6    | 6    | 0.001639791    | 0.001510874   |
| 300282:6035 | 08/02/17 09:08:16 | 135  | 131  | 0.035980020    | 0.031082620   |
| 300283:6035 | 08/02/17 10:20:31 | 34   | 26   | 0.008596858    | 0.005861653   |
| 300284:6035 | 08/02/17 10:35:39 | 679  | 679  | 0.142549025    | 0.134354102   |
| 300364:6041 | 08/03/17 12:13:45 | 20   | 17   | 0.006688876    | 0.004061528   |
| 300372:6041 | 08/03/17 13:32:05 | 8    | 8    | 0.002427131    | 0.002014810   |
| 300375:6041 | 08/03/17 13:58:15 | 93   | 93   | 0.027051895    | 0.025170116   |
| 300389:6044 | 08/03/17 18:48:33 | 121  | 115  | 0.039733620    | 0.027327958   |
| 300399:6044 | 08/03/17 21:15:05 | 20   | 17   | 0.006061614    | 0.004284658   |
| 300400:6044 | 08/03/17 21:26:33 | 677  | 672  | 0.176439648    | 0.162809266   |
| 300401:6044 | 08/04/17 02:03:03 | 655  | 655  | 0.123786736    | 0.116894945   |
| 300459:6046 | 08/04/17 12:16:31 | 293  | 293  | 0.093606012    | 0.082550727   |
| 300461:6046 | 08/04/17 14:16:24 | 98   | 88   | 0.029330733    | 0.023965173   |
| 300462:6046 | 08/04/17 14:56:36 | 97   | 91   | 0.027718300    | 0.023547844   |
| 300463:6046 | 08/04/17 15:38:41 | 124  | 124  | 0.033411782    | 0.030979288   |
| 300464:6046 | 08/04/17 16:34:29 | 243  | 243  | 0.060730161    | 0.054422180   |
| 300466:6046 | 08/04/17 18:25:04 | 650  | 643  | 0.130930462    | 0.121620308   |
| 300467:6046 | 08/04/17 22:39:50 | 563  | 563  | 0.085153736    | 0.080267960   |
| 300497:6048 | 08/05/17 07:32:31 | 150  | 150  | 0.052674097    | 0.040365626   |
| 300514:6050 | 08/05/17 12:01:12 | 113  | 113  | 0.039157081    | 0.029557611   |
| 300515:6050 | 08/05/17 12:46:59 | 895  | 895  | 0.257071062    | 0.238009086   |
| 300516:6050 | 08/05/17 19:30:11 | 111  | 109  | 0.023648977    | 0.019408339   |
| 300517:6050 | 08/05/17 20:16:08 | 529  | 529  | 0.096217907    | 0.091078467   |
| 300558:6052 | 08/06/17 11:30:09 | 541  | 534  | 0.127656861    | 0.117294108   |
| 300560:6052 | 08/06/17 15:03:17 | 840  | 840  | 0.145734021    | 0.137087232   |
| 300574:6053 | 08/07/17 02:51:21 | 97   | 96   | 0.030156561    | 0.023867045   |
| 300575:6053 | 08/07/17 03:34:38 | 82   | 76   | 0.025583831    | 0.012364944   |
| 300576:6053 | 08/07/17 04:08:51 | 1199 | 1199 | 0.290648696    | 0.271952505   |
