#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 0.008244874    | 0.007875652   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 0.014104983    | 0.013742037   |
| 315264:6616 | 04/27/18 02:45:32 | 230  | 230  | 0.040706107    | 0.039013231   |
| 315265:6616 | 04/27/18 04:20:05 | 55   | 55   | 0.009150117    | 0.006336633   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 0.037455391    | 0.036401502   |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 0.078780551    | 0.077040479   |
| 315322:6617 | 04/27/18 14:41:34 | 1329 | 1329 | 0.180354101    | 0.176234018   |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 0.093854358    | 0.091555169   |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 0.152936915    | 0.149060878   |
| 315361:6621 | 04/29/18 03:17:58 | 580  | 580  | 0.120355907    | 0.116453756   |
| 315363:6621 | 04/29/18 07:08:35 | 86   | 86   | 0.014547867    | 0.014145189   |
| 315366:6621 | 04/29/18 08:43:30 | 736  | 736  | 0.098893302    | 0.097359662   |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 0.257304228    | 0.251848623   |
| 315488:6628 | 04/30/18 19:08:38 | 802  | 802  | 0.191252992    | 0.186123365   |
| 315489:6628 | 05/01/18 02:09:59 | 691  | 691  | 0.101559713    | 0.099820288   |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 0.002452247    | 0.002420044   |
| 315506:6629 | 05/01/18 10:08:40 | 88   | 88   | 0.028846960    | 0.027404615   |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 0.104300683    | 0.100745732   |
| 315512:6629 | 05/01/18 13:27:09 | 1122 | 1122 | 0.233168646    | 0.228885473   |
| 315543:6633 | 05/02/18 04:09:50 | 117  | 117  | 0.037049615    | 0.036091539   |
| 315555:6636 | 05/02/18 09:42:48 | 76   | 76   | 0.023792345    | 0.021464942   |
| 315556:6636 | 05/02/18 10:15:54 | 26   | 26   | 0.008783416    | 0.008214690   |
| 315557:6636 | 05/02/18 10:30:10 | 279  | 279  | 0.084161782    | 0.082076690   |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 0.014535817    | 0.010229296   |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 0.001485991    | 0.001206105   |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 0.031866426    | 0.030611117   |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 0.063058288    | 0.061475660   |
| 315645:6638 | 05/02/18 23:58:43 | 583  | 583  | 0.159609992    | 0.155820629   |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 0.186871079    | 0.183546425   |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 0.008225138    | 0.007608846   |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 0.014708900    | 0.014436219   |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 0.327722544    | 0.318715754   |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 0.115778104    | 0.113712537   |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 0.023753005    | 0.022078719   |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 0.157617040    | 0.152388984   |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 0.014542480    | 0.014132135   |
| 315705:6640 | 05/04/18 12:42:46 | 698  | 698  | 0.128472766    | 0.126323431   |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 0.353461025    | 0.341833839   |
| 315721:6642 | 05/05/18 05:08:15 | 589  | 589  | 0.211773666    | 0.204087837   |
| 315741:6643 | 05/05/18 11:57:44 | 59   | 59   | 0.024566167    | 0.023129593   |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 0.116074405    | 0.111100195   |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 0.122843187    | 0.118526708   |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 0.052152154    | 0.050278289   |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 0.105686852    | 0.102394762   |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 0.021825131    | 0.020989018   |
| 315790:6648 | 05/06/18 18:12:53 | 921  | 921  | 0.170562481    | 0.166943955   |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 0.205874660    | 0.199213438   |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 0.097567139    | 0.095075053   |
| 315840:6654 | 05/07/18 21:19:17 | 1122 | 1122 | 0.351844375    | 0.341882407   |
| 315973:6659 | 05/08/18 23:33:11 | 855  | 855  | 0.274264199    | 0.267198835   |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 0.018136474    | 0.017615480   |
| 316058:6662 | 05/09/18 20:47:17 | 364  | 364  | 0.137850418    | 0.132477380   |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 0.170797118    | 0.163188827   |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 0.193002132    | 0.187856740   |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 0.005891410    | 0.005789945   |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.000668201    | 0.000657440   |
| 316082:6663 | 05/10/18 12:45:59 | 371  | 371  | 0.140907641    | 0.136601703   |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 0.081613371    | 0.079017104   |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 0.016974880    | 0.014573458   |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 0.021409714    | 0.019663098   |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 0.358223966    | 0.349062636   |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 0.252484392    | 0.245457480   |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 0.016475594    | 0.014558605   |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 0.508314272    | 0.487253668   |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 0.401781604    | 0.387884741   |
| 316200:6675 | 05/13/18 02:29:15 | 10   | 10   | 0.002537506    | 0.002131482   |
| 316201:6675 | 05/13/18 02:36:35 | 498  | 498  | 0.111649839    | 0.105991624   |
| 316202:6675 | 05/13/18 05:53:20 | 403  | 403  | 0.074551950    | 0.072309327   |
| 316216:6677 | 05/13/18 11:57:39 | 442  | 442  | 0.173196683    | 0.165690110   |
| 316217:6677 | 05/13/18 15:05:04 | 264  | 264  | 0.088194531    | 0.085024869   |
| 316218:6677 | 05/13/18 16:52:48 | 1008 | 1008 | 0.241224265    | 0.234342150   |
| 316219:6677 | 05/13/18 23:33:20 | 283  | 283  | 0.048535847    | 0.047181664   |
| 316239:6681 | 05/14/18 05:52:33 | 589  | 589  | 0.210013287    | 0.201883392   |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 0.282789259    | 0.273273628   |
| 316241:6681 | 05/14/18 17:44:39 | 324  | 324  | 0.053101075    | 0.051083470   |
| 316271:6683 | 05/15/18 00:23:55 | 86   | 86   | 0.031057408    | 0.028761946   |
| 316361:6688 | 05/15/18 17:14:36 | 189  | 189  | 0.027849041    | 0.025926495   |
| 316362:6688 | 05/15/18 18:35:05 | 425  | 425  | 0.054296674    | 0.052630950   |
| 316363:6688 | 05/15/18 21:31:00 | 48   | 48   | 0.004816822    | 0.004494835   |
| 316377:6690 | 05/16/18 01:56:03 | 21   | 21   | 0.003166456    | 0.001876894   |
| 316378:6690 | 05/16/18 02:06:25 | 29   | 29   | 0.006081756    | 0.003261983   |
| 316379:6690 | 05/16/18 02:20:14 | 70   | 70   | 0.014273762    | 0.008038051   |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 0.174668577    | 0.170741402   |
| 316455:6693 | 05/16/18 19:16:26 | 36   | 36   | 0.009626966    | 0.009305321   |
| 316457:6693 | 05/16/18 19:38:29 | 1454 | 1454 | 0.324995962    | 0.315848939   |
| 316469:6694 | 05/17/18 07:48:26 | 428  | 428  | 0.149021720    | 0.144077504   |
| 316470:6694 | 05/17/18 11:54:10 | 476  | 476  | 0.116665744    | 0.112692839   |
| 316472:6694 | 05/17/18 15:00:36 | 328  | 328  | 0.065635764    | 0.063826372   |
| 316505:6696 | 05/18/18 00:24:12 | 1319 | 1319 | 0.399244087    | 0.386449151   |
| 316569:6700 | 05/19/18 02:15:14 | 1888 | 1888 | 0.480806532    | 0.467453264   |
| 316590:6702 | 05/19/18 20:55:26 | 510  | 510  | 0.188488092    | 0.182608416   |
| 316613:6706 | 05/20/18 07:52:23 | 193  | 193  | 0.031471291    | 0.030818854   |
| 316615:6706 | 05/20/18 09:12:46 | 338  | 338  | 0.048910006    | 0.048015272   |
| 316666:6709 | 05/20/18 21:51:34 | 981  | 981  | 0.279716451    | 0.269000892   |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 0.041951081    | 0.040543939   |
| 316700:6710 | 05/21/18 11:45:23 | 311  | 311  | 0.117455425    | 0.110277288   |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 0.145076226    | 0.138597175   |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 0.094682562    | 0.091826782   |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 0.003223184    | 0.002906589   |
| 316716:6711 | 05/22/18 01:30:22 | 181  | 181  | 0.067195594    | 0.059547483   |
| 316717:6711 | 05/22/18 02:44:01 | 192  | 192  | 0.064141140    | 0.060999748   |
| 316718:6711 | 05/22/18 04:00:36 | 311  | 311  | 0.090112291    | 0.086765733   |
| 316719:6711 | 05/22/18 06:17:38 | 136  | 136  | 0.034005098    | 0.031176418   |
| 316720:6711 | 05/22/18 07:16:07 | 182  | 182  | 0.041466582    | 0.040093380   |
| 316721:6711 | 05/22/18 08:29:43 | 15   | 15   | 0.003213818    | 0.003136788   |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 0.134354936    | 0.129472608   |
| 316723:6711 | 05/22/18 13:38:49 | 64   | 64   | 0.009447754    | 0.009247834   |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 0.454125034    | 0.438427393   |
| 316766:6714 | 05/23/18 05:50:21 | 2148 | 2148 | 0.557055354    | 0.539896981   |
| 316876:6719 | 05/24/18 23:17:16 | 610  | 610  | 0.227977178    | 0.208559222   |
| 316877:6719 | 05/25/18 03:18:17 | 395  | 395  | 0.110800548    | 0.106823334   |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 0.037060411    | 0.035128560   |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 0.044027272    | 0.042792746   |
| 316985:6731 | 05/27/18 20:04:09 | 471  | 471  | 0.171688324    | 0.166366918   |
| 316993:6733 | 05/28/18 03:32:51 | 211  | 211  | 0.076825064    | 0.071784377   |
| 316994:6733 | 05/28/18 04:58:47 | 14   | 14   | 0.004886747    | 0.004587452   |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 0.184668847    | 0.179192071   |
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 0.007886039    | 0.007430570   |
| 317087:6738 | 05/28/18 23:14:12 | 741  | 741  | 0.243577319    | 0.234153917   |
| 317089:6738 | 05/29/18 04:46:52 | 1003 | 1003 | 0.212820790    | 0.204729732   |
| 317182:6741 | 05/30/18 09:15:47 | 1377 | 1377 | 0.405681995    | 0.390602967   |
| 317212:6744 | 05/31/18 02:42:18 | 140  | 140  | 0.052281094    | 0.049255413   |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 0.125352888    | 0.120693742   |
| 317279:6747 | 05/31/18 17:11:11 | 466  | 466  | 0.066614006    | 0.064332082   |
| 317291:6749 | 06/01/18 02:53:28 | 791  | 791  | 0.272736348    | 0.263712511   |
| 317292:6749 | 06/01/18 08:08:06 | 330  | 330  | 0.084205611    | 0.081673632   |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 0.122303042    | 0.118834733   |
| 317319:6751 | 06/01/18 19:42:34 | 139  | 139  | 0.054741843    | 0.051604381   |
| 317320:6751 | 06/01/18 20:37:54 | 1820 | 1820 | 0.458599044    | 0.442953816   |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 0.015361840    | 0.013101239   |
| 317339:6752 | 06/02/18 11:06:15 | 163  | 163  | 0.065881177    | 0.063374625   |
| 317340:6752 | 06/02/18 12:17:49 | 418  | 418  | 0.142187242    | 0.135221668   |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 0.026778145    | 0.023254901   |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 0.023037928    | 0.021649579   |
| 317391:6757 | 06/04/18 03:22:00 | 8    | 8    | 0.003367517    | 0.002627411   |
| 317392:6757 | 06/04/18 03:27:45 | 1898 | 1898 | 0.485771797    | 0.471633900   |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 0.360526626    | 0.347198926   |
| 317438:6759 | 06/05/18 09:20:21 | 307  | 307  | 0.049730077    | 0.047770573   |
| 317475:6761 | 06/05/18 18:13:48 | 68   | 68   | 0.026040794    | 0.024777066   |
| 317478:6761 | 06/05/18 18:47:22 | 23   | 23   | 0.008147721    | 0.007610915   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 0.159252709    | 0.154115634   |
| 317488:6761 | 06/05/18 23:26:32 | 844  | 844  | 0.179418805    | 0.173890649   |
| 317527:6763 | 06/06/18 22:52:13 | 1447 | 1447 | 0.448252240    | 0.434267762   |
| 317591:6768 | 06/08/18 07:07:55 | 292  | 292  | 0.110950376    | 0.106962125   |
| 317626:6770 | 06/08/18 20:45:31 | 2006 | 2006 | 0.524827719    | 0.507957827   |
| 317640:6772 | 06/09/18 13:47:49 | 801  | 801  | 0.260913923    | 0.250898826   |
| 317641:6772 | 06/09/18 19:02:10 | 1390 | 1390 | 0.265107669    | 0.257334707   |
| 317648:6773 | 06/10/18 06:27:57 | 95   | 95   | 0.036026990    | 0.032582446   |
| 317649:6773 | 06/10/18 07:08:13 | 621  | 621  | 0.192486701    | 0.185577912   |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 0.253526363    | 0.245569587   |
| 317661:6774 | 06/10/18 21:57:00 | 1222 | 1222 | 0.371817721    | 0.360408713   |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 0.150682489    | 0.146907102   |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 0.117535560    | 0.113188813   |
| 317696:6778 | 06/12/18 00:00:43 | 645  | 645  | 0.228534721    | 0.219814423   |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 0.002877056    | 0.002690376   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 0.013258133    | 0.012822714   |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 0.091132358    | 0.087901767   |
| 318874:6860 | 06/28/18 17:39:39 | 320  | 320  | 0.099322393    | 0.094917432   |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 0.046586927    | 0.044263060   |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 0.155978081    | 0.151711508   |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.016224535    | 0.015766860   |
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.229074637    | 0.224324314   |
| 319347:6904 | 07/08/18 19:53:19 | 651  | 651  | 0.222497742    | 0.204766917   |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.010608955    | 0.004835226   |
